,acc,f1,recall,precision
0,0.9888888888888889,0.9890710382513661,0.9890710382513661,0.9890710382513661
1,0.9930555555555556,0.9931224209078404,0.9972375690607734,0.989041095890411
2,0.9888888888888889,0.9893617021276596,0.9893617021276596,0.9893617021276596
3,0.9861111111111112,0.985632183908046,0.9828080229226361,0.9884726224783862
4,0.9944444444444445,0.994535519125683,0.994535519125683,0.994535519125683
5,0.9930555555555556,0.9931224209078404,0.9917582417582418,0.9944903581267218
6,0.9916666666666667,0.9918478260869565,0.9945504087193461,0.989159891598916
7,0.9847222222222223,0.9844851904090268,0.9858757062146892,0.9830985915492958
8,0.9930555555555556,0.9927007299270074,1.0,0.9855072463768116
9,0.9930555555555556,0.9929873772791025,0.9943820224719101,0.9915966386554622
